t_s,label,x_ref,y_ref,t1_cmd,t2_cmd,t3_cmd,t1_fb,t2_fb,t3_fb
1.827,home_init,0.0,0.0,19.9095,19.9095,19.9095,8.031,8.1606,6.3809
2.947,target_p1_r1,0.0,60.0,30.7471,16.2346,16.2346,28.9995,16.2114,16.3323
4.07,home_p1_r1,0.0,0.0,19.9095,19.9095,19.9095,21.575,19.9358,19.8501
5.192,target_p1_r2,0.0,60.0,30.7471,16.2346,16.2346,28.9775,16.207,16.3103
6.312,home_p1_r2,0.0,0.0,19.9095,19.9095,19.9095,21.7046,19.9512,19.8523
7.433,target_p1_r3,0.0,60.0,30.7471,16.2346,16.2346,29.0017,16.2048,16.3059
8.554,home_p1_r3,0.0,0.0,19.9095,19.9095,19.9095,21.6914,19.9402,19.8479
9.677,target_p1_r4,0.0,60.0,30.7471,16.2346,16.2346,29.0479,16.1895,16.3279
10.798,home_p1_r4,0.0,0.0,19.9095,19.9095,19.9095,21.676,19.9644,19.8391
11.92,target_p1_r5,0.0,60.0,30.7471,16.2346,16.2346,28.9797,16.1982,16.3125
13.045,home_p1_r5,0.0,0.0,19.9095,19.9095,19.9095,21.5266,19.9358,19.8567
14.168,target_p1_r6,0.0,60.0,30.7471,16.2346,16.2346,29.0347,16.1917,16.3213
15.289,home_p1_r6,0.0,0.0,19.9095,19.9095,19.9095,21.6497,19.9468,19.8215
16.413,target_p2_r1,-60.0,0.0,21.2425,29.5233,12.5043,21.2498,28.4238,12.887
17.536,home_p2_r1,0.0,0.0,19.9095,19.9095,19.9095,19.905,21.0015,19.5908
18.661,target_p2_r2,-60.0,0.0,21.2425,29.5233,12.5043,21.252,28.4194,12.8826
19.787,home_p2_r2,0.0,0.0,19.9095,19.9095,19.9095,19.9314,20.9377,19.6084
20.913,target_p2_r3,-60.0,0.0,21.2425,29.5233,12.5043,21.2278,28.4304,12.8716
22.039,home_p2_r3,0.0,0.0,19.9095,19.9095,19.9095,19.916,20.9312,19.6172
23.163,target_p2_r4,-60.0,0.0,21.2425,29.5233,12.5043,21.2651,28.4304,12.8716
24.286,home_p2_r4,0.0,0.0,19.9095,19.9095,19.9095,19.9204,20.9971,19.5842
25.408,target_p2_r5,-60.0,0.0,21.2425,29.5233,12.5043,21.2168,28.3799,12.9067
26.53,home_p2_r5,0.0,0.0,19.9095,19.9095,19.9095,19.9182,21.0037,19.5754
27.653,target_p2_r6,-60.0,0.0,21.2425,29.5233,12.5043,21.2278,28.3733,12.9089
28.773,home_p2_r6,0.0,0.0,19.9095,19.9095,19.9095,19.9204,21.0542,19.5579
29.894,target_p3_r1,-60.0,-60.0,12.4651,35.3037,18.9312,12.8167,30.5134,18.9734
31.013,home_p3_r1,0.0,0.0,19.9095,19.9095,19.9095,19.5579,24.728,19.8721
32.134,target_p3_r2,-60.0,-60.0,12.4651,35.3037,18.9312,12.8057,30.5706,18.9734
33.242,home_p3_r2,0.0,0.0,19.9095,19.9095,19.9095,19.4216,25.3015,19.8831
34.361,target_p3_r3,-60.0,-60.0,12.4651,35.3037,18.9312,12.8232,30.5068,18.9734
35.485,home_p3_r3,0.0,0.0,19.9095,19.9095,19.9095,19.6106,24.4995,19.8809
36.609,target_p3_r4,-60.0,-60.0,12.4651,35.3037,18.9312,12.7947,30.6453,18.9778
37.733,home_p3_r4,0.0,0.0,19.9095,19.9095,19.9095,19.6106,24.5061,19.8743
38.855,target_p3_r5,-60.0,-60.0,12.4651,35.3037,18.9312,12.8254,30.5903,18.98
39.98,home_p3_r5,0.0,0.0,19.9095,19.9095,19.9095,19.6128,24.4753,19.8765
41.104,target_p3_r6,-60.0,-60.0,12.4651,35.3037,18.9312,12.7727,30.6716,18.9734
42.228,home_p3_r6,0.0,0.0,19.9095,19.9095,19.9095,19.6106,24.5149,19.8787
43.354,target_p4_r1,60.0,0.0,21.2425,12.5043,29.5233,21.252,12.6804,28.5183
44.48,home_p4_r1,0.0,0.0,19.9095,19.9095,19.9095,19.9028,19.6392,20.9707
45.607,target_p4_r2,60.0,0.0,21.2425,12.5043,29.5233,21.2498,12.6782,28.5051
46.732,home_p4_r2,0.0,0.0,19.9095,19.9095,19.9095,19.9028,19.6545,20.9751
47.854,target_p4_r3,60.0,0.0,21.2425,12.5043,29.5233,21.252,12.7354,28.4128
48.977,home_p4_r3,0.0,0.0,19.9095,19.9095,19.9095,19.9292,19.6062,21.0454
50.099,target_p4_r4,60.0,0.0,21.2425,12.5043,29.5233,21.2432,12.7266,28.415
51.22,home_p4_r4,0.0,0.0,19.9095,19.9095,19.9095,19.9226,19.5842,21.0696
52.343,target_p4_r5,60.0,0.0,21.2425,12.5043,29.5233,21.2476,12.7112,28.4348
53.465,home_p4_r5,0.0,0.0,19.9095,19.9095,19.9095,19.9204,19.593,21.052
54.586,target_p4_r6,60.0,0.0,21.2425,12.5043,29.5233,21.2366,12.7441,28.3843
55.705,home_p4_r6,0.0,0.0,19.9095,19.9095,19.9095,19.9094,19.5557,21.1003
